Gene1,Gene2,corVal,pValue
KCND3,RHCG,0.139036359125908,3.02027119988616e-295
ZIC3,AC113554.1,0.139035910324243,3.0335878446442e-295
FREM2,RHCG,0.139008724936704,3.95984333771212e-295
TSPO2,FHDC1,0.138988660161077,4.82029586656665e-295
FHDC1,TSPO2,0.138988660161016,4.82029586943641e-295
PADI3,OR51E2,0.138971610763856,5.69673321087211e-295
TSPO2,IGFL1,0.138944925321825,7.39886066998213e-295
CRHBP,IGLL1,0.138927963144764,8.73619512781971e-295
HBD,GATA1,0.138891974137124,1.24276805672401e-294
GATA1,HBD,0.138891974137063,1.24276805746064e-294
MTNR1B,IGLL1,0.138867143542751,1.58480230621063e-294
ARG1,RHAG,0.138697180978017,8.35923196064097e-294
RHAG,ARG1,0.1386971809779,8.3592319701975e-294
SPDYC,PCSK2,0.138689887714832,8.97709429952142e-294
CA1,EPB42,0.138564557505902,3.0553564239458e-293
EPB42,CA1,0.138564557505845,3.05535642565073e-293
CD300E,PI3,0.138209404299823,9.76543706115758e-292
PI3,CD300E,0.138209404299813,9.76543706208377e-292
F2,GRM7,0.137954901517323,1.16264064714577e-290
IRX4,LCE3E,0.137943102797824,1.30396951711395e-290
TRIM15,ERFE,0.137691125229631,1.50739467871573e-289
ERFE,TRIM15,0.137691125229589,1.5073946793221e-289
MT-ATP6,MT-CO2,0.137398154833742,2.579760834191e-288
MT-CO2,MT-ATP6,0.137398154833742,2.57976083420011e-288
TNNI1,NCCRP1,0.137358473543012,3.78809651562182e-288
NCCRP1,TNNI1,0.137358473543,3.78809651604925e-288
TYROBP,FCER1G,0.137259371063118,9.88287216817426e-288
FCER1G,TYROBP,0.137259371063115,9.88287216844432e-288
F2,CRYM,0.137247597243615,1.10749056933942e-287
CNTN6,TUBB1,0.137183249616262,2.0632868581174e-287
PCSK2,MC5R,0.136853202530773,4.99441706514867e-286
DUOXA2,TRH,0.136836191996385,5.88461800701331e-286
LCE1F,LMO2,0.136815254717358,7.20083429522955e-286
SPTA1,MFSD2B,0.136747944522642,1.37758017916712e-285
MFSD2B,SPTA1,0.136747944522625,1.37758017938358e-285
LRP2,MYO18B,0.136664531485954,3.07646331550242e-285
MYO18B,LRP2,0.136664531485953,3.07646331552659e-285
PCSK2,TGM3,0.136632061962519,4.20551455697352e-285
IGFL1,SLURP2,0.136548111927618,9.43389654065115e-285
AQP9,CSF3R,0.136490867957871,1.63612327368988e-284
CSF3R,AQP9,0.136490867957868,1.63612327374857e-284
CNTN6,GATA2,0.136462065505392,2.15820675585145e-284
IGFL1,PRG2,0.136342073940673,6.83732677562013e-284
ART4,SST,0.136173878157992,3.43632997997429e-283
ENAM,EPS8L3,0.1361433627047,4.6048736062158e-283
CSRNP3,RHCG,0.136069478061774,9.35164276320205e-283
SPRR2G,C2orf88,0.136021263623029,1.48446173392375e-282
PENK,SLC16A9,0.135997398997495,1.86583206678695e-282
SLC16A9,PENK,0.135997398997489,1.86583206689806e-282
SLC16A9,GAP43,0.135812207616608,1.09865747711935e-281
GAP43,SLC16A9,0.135812207616603,1.09865747717652e-281
CR1L,GYPA,0.135666880509058,4.40902915089441e-281
GYPA,CR1L,0.135666880508915,4.40902915691525e-281
TNNI1,SATL1,0.135631199999913,6.20020944668736e-281
ARHGAP6,F2,0.135566975136249,1.1450345120991e-280
PSG8,PCSK2,0.135565576583769,1.16042875318646e-280
DUOXA2,CXCL17,0.135542923031485,1.44064132338866e-280
TGM3,CMTM2,0.135481241182911,2.59566895599977e-280
CMTM2,TGM3,0.135481241182907,2.59566895609642e-280
LCE1F,SOST,0.135411213888045,5.06280837164197e-280
HSPA1A,HSP90AA1,0.135324205466668,1.1605788709624e-279
HSP90AA1,HSPA1A,0.135324205466664,1.160578871008e-279
PF4V1,SPRR2G,0.13531930450716,1.21607775410656e-279
PADI3,DSC1,0.135274442591625,1.8647654408441e-279
TNNI1,SST,0.135271786745303,1.91255327406517e-279
HBQ1,GATA1,0.135233542843703,2.75317568694294e-279
GATA1,HBQ1,0.13523354284363,2.75317568883674e-279
ARPP21,RHCG,0.135089416943918,1.08564206638553e-278
PRG2,HBE1,0.13505200125308,1.54976183742567e-278
HBE1,PRG2,0.135052001252347,1.54976184824383e-278
DUOXA2,LY6G6C,0.134983666954856,2.96800903533496e-278
PLD4,CLEC4C,0.134956335042814,3.84854393787132e-278
CLEC4C,PLD4,0.134956335042811,3.84854393796509e-278
HOOK2,JUNB,0.134829190460646,1.28784018169037e-277
JUNB,HOOK2,0.134829190460645,1.28784018170342e-277
CLEC1B,GATA2,0.134783252419187,1.99188607231928e-277
SERPINA9,FCRLA,0.134772856673441,2.19845143840955e-277
FCRLA,SERPINA9,0.134772856673418,2.1984514389052e-277
CST5,PADI3,0.134739062923582,3.02966565350901e-277
PADI3,ANXA13,0.134713180059265,3.87296959861416e-277
IGLL1,NKX2-4,0.134652896102525,6.86056143206765e-277
KRT31,NFE2,0.134588974025541,1.25757908016031e-276
CYP26C1,EPS8L3,0.134524807834182,2.30986120961914e-276
MS4A14,SATL1,0.134508763014625,2.68900506845779e-276
DUOXA2,ENDOU,0.134483810817128,3.40584314280894e-276
ARHGAP6,SATL1,0.134328032646577,1.48772796614008e-275
SST,CST5,0.134282968206986,2.27829392409692e-275
PCSK2,SLC18A2,0.134234198095321,3.61279468861408e-275
TMEM40,KRT31,0.134233382153645,3.64076477857091e-275
HNF1B,C2orf73,0.134137698948763,8.99112782811914e-275
GRM7,PDZK1,0.134080607245319,1.54149919958951e-274
PDZK1,GRM7,0.134080607245309,1.54149919973011e-274
CFAP77,SATL1,0.134070801177044,1.6910129397801e-274
FCRLA,VPREB3,0.13387724767568,1.04970852336646e-273
VPREB3,FCRLA,0.133877247675674,1.04970852342491e-273
CCDC33,C11orf97,0.133764440622912,3.03845920959401e-273
C11orf97,CCDC33,0.133764440622912,3.03845920960128e-273
EPPIN,PADI3,0.133680271993796,6.71108749674843e-273
BMP2,GRM7,0.133641462686949,9.66933596690543e-273
GRM7,BMP2,0.133641462686944,9.66933596734474e-273
RHAG,TRIM10,0.13357056607378,1.8836925053806e-272
TRIM10,RHAG,0.13357056607369,1.88369250696507e-272
CST5,IGLL1,0.133524377539325,2.90807150638266e-272
DNTT,PRTN3,0.133418104096597,7.89368931079466e-272
LY6G6F,SOST,0.133356808956489,1.40361334200868e-271
CLEC4C,CRYM,0.133166961778996,8.33121716943383e-271
CRYM,CLEC4C,0.133166961778995,8.33121716947747e-271
CNTN6,XK,0.133166813767408,8.34278455053844e-271
CPNE4,DUOXA2,0.133015859255765,3.43165982985802e-270
FLG,F2,0.132989881911788,4.37649428762564e-270
PRG2,IGFL1,0.1328438468258,1.71592406819169e-269
ANKRD34B,LCE1F,0.132784066520967,3.00056945500975e-269
ADCY1,CHRD,0.132412207292847,9.64717148230038e-268
CHRD,ADCY1,0.132412207292841,9.64717148291008e-268
FPR2,CLC,0.132395534797374,1.12686923855794e-267
CLC,FPR2,0.132395534797372,1.12686923857244e-267
CLEC1B,CPNE4,0.13236627956649,1.47995359395504e-267
DUOXA2,CLEC4C,0.132332748974302,2.02250065685715e-267
TBXT,RTP1,0.13231639560084,2.35521048210201e-267
RTP1,TBXT,0.132316395600837,2.35521048216235e-267
IGLL1,CLEC17A,0.132285703950389,3.13428858083387e-267
PADI3,PLD5,0.132164906438829,9.6454911081125e-267
CNTN6,SH3TC2,0.132148836426558,1.12004167412367e-266
SLN,PADI3,0.13213200823477,1.3097780361055e-266
AC104389.4,HBG2,0.132104028957544,1.69893583457362e-266
HBG2,AC104389.4,0.132104028957524,1.69893583489187e-266
C2orf88,GYPB,0.1319366883963,8.0422120186473e-266
GYPB,C2orf88,0.13193668839626,8.04221202162091e-266
