Gene_Symbol
CTLA4
CD8A
PDCD1
CD8B
LCK
PTPN11
CD80
GRB2
PTPN6
CSK
FYN
B2M
CD247
PDCD1LG2
HLA-A
HLA-E
HLA-C
HLA-B
SYK
HLA-G
CD3G
HLA-F
CD4
CBL
CD3E
CD3D
ZAP70
SRC
TRAT1
CD28
SOCS1
CDR1
SPDL1
CDR2
CD276
PIK3R1
ITGB1
COG5
COG3
COG1
COG7
BTRC
COG2
LYN
CD1D
CUL3
CALR
PIK3CA
ITGB3
GRAP2
FKBP5
USP22
EGFR
HOXD13
SHC1
ITGAV
CMTM6
CMTM4
PIK3R2
XCR1
CD1C
ITGA1
TAPBP
CDH1
ITGB2
TNFRSF14
ITGAM
KLRK1
PLCG1
HLA-DRA
ITGB5
CD48
ITK
HLA-DRB1
ERVW-1
ITGA2
ITGB4
PIK3CB
ITGA3
AP2M1
YES1
HLA-DQB1
HLA-DQB2
ITGA5
HLA-DQA1
HLA-DQA2
HLA-DPA1
HLA-DRB5
HLA-DPB1
ITGA4
ITGA9
SOS1
RPS27A
ITGAL
ITGB8
UBC
IGF2R
ITGB7
JAM3
SELP
CD2
ITGAX
HSP90AA1
CANX
ITGA8
LCP2
ITGB6
LAT
ITGAD
EMILIN1
ITGA11
ITGA10
ITGAE
PLCG2
ITIH4
JAM2
FN1
TNFSF4
UBA52
PPP2CA
UBB
STAT5A
PPP2R1A
CTNNB1
VAV1
NCK1
CD40
CRK
FLNA
STAT5B
TP53
TYROBP
PTK2
PPP2CB
B7RP1
PIK3R3
PPP2R1B
ICAM1
CDC42
CD86
ENSG00000277117
STAT3
FCGR1A
CD58
JAK2
JAK1
PPP2R5D
PXN
PPP2R5A
