PB-16-002	PB-16-003	PB-16-004	PB-16-005	PB-16-018	PB-16-019	PB-16-020	PB-16-021	PB-16-022	PB-16-023	PB-16-024	PB-16-025	PB-16-029	PB-16-030	PB-16-031	PB-16-032	PB-16-034	PB-16-035	PB-16-037	PB-16-038	PB-16-039	PB-16-040	PB-16-041	PB-16-042	PB-16-043	PB-16-044	PB-16-045	PB-16-047	PB-16-048	PB-16-049	PB-16-051	PB-16-052	PB-16-054	PB-16-055	PB-16-056	PB-16-057	PB-16-059	PB-16-060	PB-16-062	PB-16-063	PB-16-064	PB-16-066	PB-16-067	PB-16-068	PB-16-069
Regulatory T cell	0.212278295717788	-0.178769340056289	-0.102357128624584	0.218094808910225	-0.166663659855931	0.235500120765961	0.204035487378049	0.191075661933196	0.000162577903670294	-0.0633438879431942	0.165390515884546	0.199013724772288	0.143965749532458	0.150861661164921	0.108627244745893	0.243297197499294	0.193943349451458	0.22970791087846	-0.124366680953141	0.23281990457678	0.500495279110241	0.127689133982	-0.207725676100993	-0.0152797032775172	0.282243398849926	0.0825596979496404	0.164847878091286	-0.03182353937584	-0.0850795339944418	-0.232194267826208	-0.249237402047209	-0.250177698151919	0.378784835363638	0.0309776871737971	-0.109351359055593	0.366418315874598	0.238546044076176	0.262269664179872	0.139374467301567	0.230897993567784	0.291564568312215	0.349251033857578	0.279182806597482	0.383378606896578	0.211642878110053
Activated B cell	0.197385342393856	-0.0256840528243154	0.038821917210465	-0.0833118234580676	0.232470326643311	0.0699332478142497	0.134210402234186	0.17923650692365	0.296315257021137	0.0595304856888168	0.214174509341816	0.334613750451204	0.135694852574507	0.312807876413583	0.000605958629247595	-0.0103532841887355	0.145321962602803	0.194263024992853	0.0156828296993308	0.209150595569149	0.101116768568922	0.116440821302258	0.143480725764745	0.238918335897364	0.103050150524311	0.216876251599788	0.188428006039674	-0.00264738024218965	-0.13019403375164	-0.0412913803138632	0.0276551100405342	-0.00386764393603891	0.145576957345858	0.033095337455103	-0.0549996075234887	-0.144175699102886	0.452907098336045	0.0846729910309093	0.218824392004653	0.14022241208498	-0.0512439679920565	0.146451809770678	0.00517456139669859	0.185069057921842	0.146164791935114
Immature  B cell	-0.0185527961140077	-0.1898462544326	0.0393440513031869	0.272434445105438	-0.0210510971003127	0.284106066276108	-0.102288906644351	0.105259860436783	0.110134198249176	-0.0256489176027519	-0.0172143151592544	0.186241542491773	0.346640269633614	0.148349223967173	-0.0187476258716861	0.0317979364551054	0.0395176816615092	0.186233337162965	0.0536867083223585	0.223308767548379	0.0589228174854392	-0.107567723209949	0.0899407508175627	0.0641524505088996	0.0887950857780811	0.053988694734643	0.0668363387228899	0.198348981945018	0.0901077044901303	0.0513417947884058	0.0549140203265652	0.378860007367191	0.00519175266735428	0.357438619767259	-0.0444681189443052	0.000616759207703626	0.128680084806942	0.185532299931469	-0.0422012025010265	-0.0775847088751589	-0.156144290961926	-0.0790112083032761	0.0762834697444295	0.251264872830997	-0.0150971297435124
Memory B cell	0.225579861007282	0.0562834626766052	0.0560526066457502	0.246410331676751	0.0430326903260233	-0.1310967864678	-0.0565173794086188	0.107277952704283	0.20788754256843	0.00435626198248143	0.093736464953485	0.301589779195725	0.380618640501388	0.287268397839741	-0.197050249502034	0.293258437530986	0.0956238072149454	0.0833453878063345	0.15840415717415	-0.376221989741226	0.0823392959062858	0.0716881418258345	0.374525022187416	0.205548049847002	-0.053585874644857	0.100642263889452	0.0625584635686817	0.0915601265077243	-0.138723176217663	0.174874999636266	0.082741394530774	0.369854356041581	0.194395440553204	0.0671982183423123	-0.202397568250068	-0.138538032526075	-0.133214928085717	0.0841917355738049	0.0507279931065113	0.216171564016088	0.145798597765741	-0.00257578651201613	-0.0170296269624647	0.111045896760972	-0.0205662474543997
Natural killer cell	0.105799781666456	-0.0215654253513425	-0.0869582583667394	-0.166091121001346	0.0687650616099624	0.074814723498333	-0.00251251781427864	0.138907586992506	0.286723731989913	0.13638152214764	0.247206549961648	0.227198416962467	0.078644860575423	0.0448817993431697	0.208751631658973	0.104711823495992	0.321383978979201	0.230029630142243	0.0642369866744859	0.119818704694674	0.0439855134909461	0.205128456248664	0.206863310027445	0.0997008373298632	0.20655834903638	0.065476533122111	0.196389454911906	-0.0172556534643143	0.163573968648888	0.0630939987209245	0.14804171043677	0.163102248121848	0.0971960356277301	0.0960820792364041	0.109538145697106	0.0985200124051845	0.242577089801236	0.314923719711576	0.361884117949793	0.216113568354486	0.139255044572891	0.186946649426332	0.220410124282294	0.17121662444384	0.356661226712447
CD56bright natural killer cell	0.129224927772679	0.214292041013444	0.080285927513261	0.0904367126726599	-0.0179781311324619	-0.130972532881022	0.173854686254567	0.0210768699390349	0.109458761841792	0.0886377393211714	0.141274605613511	0.267889112979548	0.165298376759296	0.10367913430418	0.0446911421965343	0.20018598550677	0.112075727599374	0.259272084386251	0.164285915268758	0.13088147784117	0.0388577913815997	0.287128958787572	0.0233120836572536	0.0785173578447982	0.175528690989391	0.168475600109039	0.13288355333541	0.159737397121076	0.083698025505478	0.102128186617744	0.131425971364002	0.228902992586257	0.126875858955521	0.15775153882429	0.0861365919127103	0.171275737358134	0.0507459442818773	0.164903733490513	0.0821536168154942	0.0860757490588484	0.0560858328411159	0.265891338414556	-0.00411371030156596	0.0687529086592514	0.119331969411776
CD56dim natural killer cell	-0.0308192712653133	0.239755302253449	0.327872262229699	0.0303297025474633	0.0682132776371806	-0.00626969375054905	0.0131490076500771	-0.146431548125652	0.0850378795638117	0.0759993380146684	0.165408881067957	0.312920026648746	0.352877969187581	0.124139242790559	-0.0508698367701832	-0.132762560757462	0.206418817931544	-0.139112377687669	0.450709438869147	0.159174790187383	0.180465429961306	0.03063763119455	0.291139177697075	0.215232572080396	0.0985912933847808	0.293973847205988	0.0381457358169616	0.062026751302608	0.0305055822918525	0.377935803425634	0.170280009523201	0.23727705614135	0.103120125935027	0.314428487142466	0.0789670122092593	0.28626542192079	0.0847272749052914	0.153635361644047	-0.0852349735934792	0.0807861731764631	0.225937408411291	-0.136958308392567	0.247676561548663	0.0894431224462922	0.39409711485586
Myeloid derived suppressor cell	0.0537248182345876	0.0559943030664349	0.274456900989891	-0.0893097749357677	0.140045483994289	-0.267748364495646	0.267996288957294	0.159312179069642	0.355264373536535	0.0772668535981817	0.388566872980055	0.409539046042796	-0.17461773519282	0.135609995946828	0.179523129911082	-0.17488453189171	0.0936542842333198	-0.0908083626424686	0.00153388482115343	0.214935557219019	0.0848014981081451	0.286006939862378	0.131870874146071	0.0799300548263223	0.25291951611765	-0.00365787888283674	-0.103222162479859	0.209650289656527	-0.0348166294802058	0.043511117006497	-0.0330137150442836	0.11405597576678	-0.0259158600034976	-0.158272800427834	-0.0909755490676951	0.16850748430245	0.147406403563504	0.0831223697812913	0.033908123887173	0.0796554892315231	0.148063362866928	0.35327998561988	-0.00999836361568176	0.264835010004282	0.190241407935895
Natural killer T cell	0.0958462102873891	0.160635984267559	0.0948928952064419	0.249500513767786	0.101903774828035	-0.00895903164326292	0.155007927061798	-0.119923587204183	0.167801709955838	0.147357444670727	0.170713571084152	0.130082277491149	0.102058350694835	0.307142592508519	0.111256401456805	0.0830503460572897	0.00106819907085582	0.178439263692086	0.0874907665418347	0.0644721505698439	0.0200870052891467	0.194616947916524	0.1092353307939	0.249763056497263	0.223895651710336	0.0688038665108482	0.050508792278053	0.0699949407778268	0.107659025121786	0.284163830606236	0.20891751022425	0.200678053216943	0.156387491889117	0.0540037998264817	0.20868992530021	0.325229331146497	0.100183141846344	0.0741064466141525	0.0280211269376093	0.129039708900717	0.16072314306034	0.138004263213117	0.11642040035397	0.217410016859607	0.139768830627001
Activated dendritic cell	0.326465756178001	0.255064694913648	0.0393174764457375	0.102015584897407	0.239260195054412	0.167088028058964	0.122159891130979	0.115437397338336	-0.19866221082966	0.193071062468499	0.0535109791191968	0.191220966662121	0.285333164186991	0.0932069299503504	0.228420272237461	0.0392585310732339	0.113836924731714	0.0849327355355756	0.248745109972109	0.0536578236055068	-0.175257457477761	-0.116355041237591	0.0535527420507979	0.255193065676417	0.0630818530876827	0.0962790727488068	0.163574950316161	0.120941789862537	0.293105994595517	0.157126963300443	0.245522540608841	0.117889004395063	0.0773603845294844	0.149053264944643	0.14914754026156	0.0729678068846892	0.0234026383760549	-0.00960058612263867	0.314840972843218	0.108881429162725	0.202529912641388	0.0980501592252519	0.234148130965848	-0.0380141227616929	0.190432538408832
Plasmacytoid dendritic cell	0.202731550072301	0.0737924787833193	0.139826625510501	0.122351198492877	0.193058945893779	0.345233402527128	0.188241479349376	0.0358299856074518	0.0948732511385989	-0.184373703539218	0.00140263803026635	-0.0151169422432835	0.0152591592262845	0.209908637498162	0.101123441383529	0.10632004053078	0.295231003061649	0.0722372312412373	0.153466543254062	0.131940556282939	0.158452786851396	0.132838282922202	-0.0368544889484261	0.296838084901192	-0.0600469278442846	0.056012729316912	0.0922135553884763	0.0792926880000568	0.176428474545584	0.155711285471708	0.163828478946066	-0.0266904518356336	0.0282194135405217	0.112694802958326	0.115582821255874	0.115560420347253	0.277524485348334	0.23511727169577	0.154364887910937	0.270325799646235	0.0857178881945396	0.248115208327473	0.372038023540531	0.0510667310789653	0.304004353081312
Immature dendritic cell	0.0212647704709717	0.115730838252101	0.169699064846586	-0.104540681028447	0.217155279323782	0.0507512747392377	-0.082179108391284	0.158144244165665	0.350329829809274	0.193524932686241	-0.0945826807207433	0.0294750213839398	0.0575687583171293	0.295584548101145	0.355304365386187	-0.0568342159984431	0.352469903862671	0.341920422364174	0.0247146828417484	0.0235724843153716	0.0559146758091632	0.0972717044139468	0.327129232773709	-0.0687731252332525	0.0542116941913898	0.0940319029042423	-0.00535976682526094	0.369093443687796	0.195534805740979	0.272559268467288	0.0282191352403224	0.153271007387392	0.101681060681034	0.117824047963799	0.26273355563362	0.233919385015993	0.216735380815905	0.158046758114264	0.381020025842289	0.262699877150471	-0.0590024987898126	0.0593059870065393	0.123126365060684	0.0869199946498117	0.283149681446127
Macrophage	0.208457708056013	-0.0318868823544673	-0.0483992633396924	-0.0778113578584895	0.126785501328233	0.149131277336524	0.24584996841933	0.295038342566466	0.171715507089976	0.286753104698786	0.0450485436753983	0.14828095266223	0.117750450098472	0.197430891597582	0.0683410192175642	0.122541755718561	0.254448955235143	0.206806555982869	0.158836293236146	0.218503456733439	0.212011577728235	0.0832611238135828	0.169698131991271	0.0986188838110655	-0.129474872211106	0.223779851504207	0.32104939575807	-0.050207898799783	0.0156041131979554	-0.0409041460753934	0.0388437017837044	0.197701407840688	-0.223356814344363	-0.140843001302475	0.0961592553887528	0.270204854838976	0.135511238485052	0.16995717723839	0.137049574096791	0.269217395645666	0.459036576953052	0.124114471967898	0.302406924291941	0.269862373667533	0.243975099961774
Eosinophil	0.0315114068351171	-0.0783066810405948	0.257340258421719	0.168420061702489	0.152824930305999	0.0460711367031986	-0.163127245854416	-0.257569912544034	0.323293424443286	0.160369919538232	0.0519249658168003	0.3064831404998	0.156783544793006	0.43558617596877	0.0322097080764069	-0.00502707059071678	0.362128188688395	0.302508939662347	0.0325654185879452	0.0537168300900592	0.0800150251123057	0.394317324117597	-0.0154117571144029	0.140204559436249	0.139035537032549	-0.0391543728244231	-0.293515355993563	0.0502154064493715	0.317841902769249	0.109782165677221	0.133918063492855	0.00189527807211336	0.0938778766967293	0.178466040947987	0.26341631085625	0.13118694429642	0.348390066285922	-0.0357636911017697	0.0882802860446968	-0.281976776592656	-0.150696943183477	0.034489587823952	0.0958153511532695	0.107162556934849	0.298121084322285
Mast cell	0.0563121453113507	0.0804499032554005	0.0501760343121425	0.149529655496323	0.0614796543758825	-0.0969505390600751	0.292478094243712	0.265344852944045	0.466163186624302	-0.191172966795963	0.438068672907688	-0.00376303191442988	0.0197279911652257	0.181713534332693	0.0806735033762972	-0.148028918943317	0.408991416710807	0.0730156905393476	-0.0406999229835811	0.259633409812023	0.165476097863983	0.351231665344912	0.111451515077959	0.0144945000992165	0.115843790838519	0.318349795540515	0.183829661634851	0.0032584180482635	-0.0876814700875838	0.027613010784736	0.237282155896286	-0.0298253732134208	0.0734862213364184	-0.20120213363128	0.287765576246192	0.20145404328317	0.140454529910252	0.306245108428888	0.194125519597837	0.0703619364682884	0.0563342173801813	0.21490430702637	0.172328352838864	0.423935650404557	0.323039615465876
Monocyte	0.333792216465638	0.215759349709299	0.175419947092496	0.0717939219547767	0.169679414674474	0.154547547333607	0.337820541746964	0.10626375918405	0.374272082016973	-0.0268364962794578	0.0319477004985895	-0.0318343616213509	0.14910007464241	0.149590625734633	0.19265315711968	-0.0856289148488543	0.065505095349711	0.2433278514639	0.0313612696602524	0.220805583309791	0.0799751966424353	0.08250532488338	0.148780242709897	0.199253247527553	0.255477266962947	0.202571365112171	0.0391931139745303	0.039487951624687	-0.102092111102202	0.311692790123023	-0.00757014453731405	0.152379911873198	0.0397094101375008	0.0639206923621542	0.046480316600799	-0.085838711295633	0.184228050072426	0.181895490047132	0.025978351397667	0.106581894886807	-0.0413345120126749	0.0745804199079542	-0.0198433157019052	0.37053322991031	0.0276824963882492
Neutrophil	0.189115533148959	0.0942659222719379	0.140452962908781	0.204710290934549	0.274016576108671	0.229473940688122	0.262839246574591	0.0572462156076199	0.086185730560567	0.0746226893766964	0.174121630703126	0.359909172381371	0.352708817501716	0.137513660462967	0.00211325267454335	0.04787180677702	0.286780279166558	0.28402820952664	0.0436951580141488	0.0030480553655599	0.302370306675582	0.149221005073251	0.333650054874951	0.623778010258774	0.362127618480597	0.103153003724417	0.145269367154119	0.0658859880043372	0.167175067862695	-0.0430048771225013	-0.211247111589852	0.00267544602399508	0.133136157727015	-0.187501259086382	0.0198205603493151	0.207843455569369	0.0756578704714141	0.196877914539089	0.055560046006175	-0.0747512363155605	0.0195715730638626	0.153441059861836	0.128130356217071	0.100640385264397	0.20494112958829
